# Kilde: Statistisk sentralbyrå, tabell 09654
# https://www.ssb.no/statbank/table/09654/
# Månedlige priser for en liter 95-oktan bensin
# Knut Skrindo 2021
#
Nummer;Måned;Pris
1;1986M08;4.44
2;1986M09;4.44
3;1986M10;4.43
4;1986M11;4.42
5;1986M12;4.42
6;1987M01;4.65
7;1987M02;4.72
8;1987M03;4.64
9;1987M04;4.65
10;1987M05;4.63
11;1987M06;4.65
12;1987M07;4.64
13;1987M08;4.72
14;1987M09;4.71
15;1987M10;4.63
16;1987M11;4.61
17;1987M12;4.6
18;1988M01;4.8
19;1988M02;4.79
20;1988M03;4.78
21;1988M04;4.73
22;1988M05;4.72
23;1988M06;4.77
24;1988M07;4.77
25;1988M08;4.77
26;1988M09;4.86
27;1988M10;4.83
28;1988M11;4.83
29;1988M12;4.8
30;1989M01;4.9
31;1989M02;4.92
32;1989M03;4.92
33;1989M04;5
34;1989M05;5.24
35;1989M06;5.29
36;1989M07;5.3
37;1989M08;5.2
38;1989M09;5.2
39;1989M10;5.2
40;1989M11;5.23
41;1989M12;5.2
42;1990M01;5.4
43;1990M02;5.5
44;1990M03;5.48
45;1990M04;5.11
46;1990M05;5.04
47;1990M06;5.04
48;1990M07;5.37
49;1990M08;5.54
50;1990M09;5.85
51;1990M10;6.3
52;1990M11;6.2
53;1990M12;5.89
54;1991M01;6.44
55;1991M02;6.04
56;1991M03;6.23
57;1991M04;6.29
58;1991M05;6.43
59;1991M06;6.48
60;1991M07;6.59
61;1991M08;6.51
62;1991M09;6.49
63;1991M10;6.47
64;1991M11;6.47
65;1991M12;6.34
66;1992M01;6.54
67;1992M02;6.5
68;1992M03;6.6
69;1992M04;6.64
70;1992M05;6.68
71;1992M06;6.71
72;1992M07;6.84
73;1992M08;6.92
74;1992M09;6.84
75;1992M10;6.94
76;1992M11;6.99
77;1992M12;6.96
78;1993M01;7.08
79;1993M02;7.11
80;1993M03;7.14
81;1993M04;7.16
82;1993M05;7.15
83;1993M06;7.1
84;1993M07;7.17
85;1993M08;7.19
86;1993M09;7.17
87;1993M10;7.11
88;1993M11;7.1
89;1993M12;6.99
90;1994M01;6.98
91;1994M02;7.06
92;1994M03;7.09
93;1994M04;6.95
94;1994M05;6.97
95;1994M06;7.04
96;1994M07;7.33
97;1994M08;7.48
98;1994M09;7.41
99;1994M10;7.29
100;1994M11;7.37
101;1994M12;7.27
102;1995M01;7.58
103;1995M02;7.58
104;1995M03;7.58
105;1995M04;7.62
106;1995M05;7.7
107;1995M06;7.7
108;1995M07;7.61
109;1995M08;7.61
110;1995M09;7.66
111;1995M10;7.59
112;1995M11;7.67
113;1995M12;7.64
114;1996M01;7.74
115;1996M02;7.74
116;1996M03;7.83
117;1996M04;8.05
118;1996M05;8.11
119;1996M06;7.87
120;1996M07;7.75
121;1996M08;7.73
122;1996M09;7.48
123;1996M10;7.72
124;1996M11;7.68
125;1996M12;7.49
126;1997M01;8.09
127;1997M02;8.09
128;1997M03;8.18
129;1997M04;8.17
130;1997M05;8.57
131;1997M06;8.36
132;1997M07;8.39
133;1997M08;8.46
134;1997M09;8.43
135;1997M10;8.51
136;1997M11;8.7
137;1997M12;8.65
138;1998M01;8.68
139;1998M02;8.47
140;1998M03;8.54
141;1998M04;8.39
142;1998M05;8.39
143;1998M06;8.36
144;1998M07;8.5
145;1998M08;8.22
146;1998M09;8.45
147;1998M10;8.03
148;1998M11;8.21
149;1998M12;8.18
150;1999M01;8.52
151;1999M02;8.4
152;1999M03;8.5
153;1999M04;8.77
154;1999M05;8.92
155;1999M06;8.89
156;1999M07;9.08
157;1999M08;9.3
158;1999M09;9.32
159;1999M10;9.04
160;1999M11;9.26
161;1999M12;9.62
162;2000M01;9.59
163;2000M02;9.61
164;2000M03;10.22
165;2000M04;10.09
166;2000M05;10.25
167;2000M06;10.85
168;2000M07;10.74
169;2000M08;10.3
170;2000M09;10.79
171;2000M10;10.46
172;2000M11;10.47
173;2000M12;10
174;2001M01;9.41
175;2001M02;9.7
176;2001M03;9.56
177;2001M04;9.86
178;2001M05;10.42
179;2001M06;9.97
180;2001M07;9.11
181;2001M08;9.02
182;2001M09;9.2
183;2001M10;8.74
184;2001M11;8.33
185;2001M12;8.23
186;2002M01;8.53
187;2002M02;8.57
188;2002M03;8.78
189;2002M04;9.25
190;2002M05;8.99
191;2002M06;8.83
192;2002M07;8.81
193;2002M08;8.94
194;2002M09;9.12
195;2002M10;9.04
196;2002M11;8.89
197;2002M12;8.89
198;2003M01;8.99
199;2003M02;9.48
200;2003M03;9.56
201;2003M04;9.3
202;2003M05;8.71
203;2003M06;8.83
204;2003M07;9.13
205;2003M08;9.3
206;2003M09;9.19
207;2003M10;8.99
208;2003M11;9.12
209;2003M12;8.88
210;2004M01;8.89
211;2004M02;9.25
212;2004M03;9.56
213;2004M04;9.54
214;2004M05;10.04
215;2004M06;9.93
216;2004M07;10.17
217;2004M08;10.13
218;2004M09;9.61
219;2004M10;10.06
220;2004M11;9.72
221;2004M12;9.55
222;2005M01;9.68
223;2005M02;9.83
224;2005M03;10.02
225;2005M04;10.66
226;2005M05;10.56
227;2005M06;10.66
228;2005M07;11.05
229;2005M08;11.06
230;2005M09;11.45
231;2005M10;11.23
232;2005M11;10.6
233;2005M12;10.72
234;2006M01;11.13
235;2006M02;11.13
236;2006M03;11.15
237;2006M04;11.7
238;2006M05;11.86
239;2006M06;11.87
240;2006M07;12.32
241;2006M08;12.27
242;2006M09;11.36
243;2006M10;11.03
244;2006M11;10.81
245;2006M12;10.84
246;2007M01;10.8
247;2007M02;10.92
248;2007M03;11.29
249;2007M04;11.66
250;2007M05;12.09
251;2007M06;12.06
252;2007M07;12.18
253;2007M08;11.9
254;2007M09;11.69
255;2007M10;11.39
256;2007M11;12.19
257;2007M12;12.02
258;2008M01;12.19
259;2008M02;12.27
260;2008M03;12.5
261;2008M04;12.44
262;2008M05;12.99
263;2008M06;13.04
264;2008M07;13.8
265;2008M08;13.19
266;2008M09;13.14
267;2008M10;12.59
268;2008M11;11.34
269;2008M12;10.34
270;2009M01;10.75
271;2009M02;10.94
272;2009M03;10.84
273;2009M04;11.33
274;2009M05;11.7
275;2009M06;12.43
276;2009M07;12.13
277;2009M08;12.39
278;2009M09;12.27
279;2009M10;11.84
280;2009M11;12.13
281;2009M12;12.11
282;2010M01;12.38
283;2010M02;12.03
284;2010M03;12.74
285;2010M04;12.96
286;2010M05;12.89
287;2010M06;12.79
288;2010M07;12.72
289;2010M08;12.47
290;2010M09;12.45
291;2010M10;12.57
292;2010M11;12.76
293;2010M12;13.22
294;2011M01;13.33
295;2011M02;13.43
296;2011M03;13.94
297;2011M04;14.23
298;2011M05;14.29
299;2011M06;14.26
300;2011M07;14.21
301;2011M08;14.06
302;2011M09;14.02
303;2011M10;13.95
304;2011M11;13.83
305;2011M12;13.8
306;2012M01;14.36
307;2012M02;14.71
308;2012M03;15.05
309;2012M04;15.45
310;2012M05;14.88
311;2012M06;14.56
312;2012M07;14.55
313;2012M08;14.83
314;2012M09;15.22
315;2012M10;14.85
316;2012M11;14.32
317;2012M12;14.21
318;2013M01;14.41
319;2013M02;14.65
320;2013M03;14.65
321;2013M04;14.51
322;2013M05;14.54
323;2013M06;14.61
324;2013M07;15.07
325;2013M08;15.07
326;2013M09;15.05
327;2013M10;14.81
328;2013M11;14.63
329;2013M12;14.68
330;2014M01;14.91
331;2014M02;14.84
332;2014M03;14.71
333;2014M04;14.69
334;2014M05;15.03
335;2014M06;14.97
336;2014M07;15.29
337;2014M08;15.12
338;2014M09;14.96
339;2014M10;14.6
340;2014M11;14.48
341;2014M12;13.72
342;2015M01;13.78
343;2015M02;13.55
344;2015M03;13.95
345;2015M04;14.28
346;2015M05;13.99
347;2015M06;14.69
348;2015M07;14.92
349;2015M08;14.04
350;2015M09;13.69
351;2015M10;13.5
352;2015M11;13.55
353;2015M12;13.29
354;2016M01;13.29
355;2016M02;12.93
356;2016M03;13.41
357;2016M04;13.53
358;2016M05;13.57
359;2016M06;14.02
360;2016M07;13.88
361;2016M08;13.63
362;2016M09;13.47
363;2016M10;13.33
364;2016M11;13.69
365;2016M12;13.89
366;2017M01;14.94
367;2017M02;14.87
368;2017M03;14.61
369;2017M04;14.28
370;2017M05;14.38
371;2017M06;14.69
372;2017M07;14.58
373;2017M08;14.79
374;2017M09;15.05
375;2017M10;14.25
376;2017M11;14.96
377;2017M12;14.23
378;2018M01;15.02
379;2018M02;15.23
380;2018M03;14.93
381;2018M04;15.21
382;2018M05;15.95
383;2018M06;15.65
384;2018M07;15.83
385;2018M08;15.94
386;2018M09;15.97
387;2018M10;15.96
388;2018M11;16.02
389;2018M12;14.93
390;2019M01;14.91
391;2019M02;15.06
392;2019M03;15.31
393;2019M04;15.8
394;2019M05;16.07
395;2019M06;15.99
396;2019M07;16.31
397;2019M08;15.92
398;2019M09;15.61
399;2019M10;15.59
400;2019M11;16.01
401;2019M12;15.7
402;2020M01;15.92
403;2020M02;15.6
404;2020M03;15.19
405;2020M04;13.69
406;2020M05;14.07
407;2020M06;14.78
408;2020M07;15.35
409;2020M08;14.86
410;2020M09;14.38
411;2020M10;14.43
412;2020M11;13.56
413;2020M12;14.44
414;2021M01;15.32
415;2021M02;15.57
416;2021M03;15.59
